"Jahr";"Examensstufe";"Fachrichtung";"Geschlecht";"Hochschule";Abschlüsse der universitären Hochschulen
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"NE";2
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"SG";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"UZH";2
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"USI";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"Andere UI";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"EPFL";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Mann";"ETHZ";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"BS";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"BE";2
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"FR";9
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"GE";25
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"LS";21
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"LU";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"NE";7
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"SG";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"UZH";5
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"USI";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"Andere UI";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"EPFL";0
"2020";"Master";"Französische Sprach- und Literaturwissenschaften";"Frau";"ETHZ";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"BS";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"BE";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"FR";3
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"GE";1
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"LS";3
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"LU";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"NE";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"SG";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"UZH";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"USI";4
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"Andere UI";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"EPFL";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Mann";"ETHZ";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"BS";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"BE";1
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"FR";6
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"GE";5
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"LS";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"LU";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"NE";0
"2020";"Master";"Italienische Sprach- und Literaturwissenschaften";"Frau";"SG";0
